row_name,k,ratio_Time_sta,Cind,Distribution,ratio_the_dyn_YD_sta,ratio_YD_dyn_YD_sta
1,1,1.077032926,1.059235306,Uniform,0.999526775,0.999212835
2,1,1.036966316,1.059235306,Uniform,0.999526775,0.999212835
3,1,0.99970907,1.059235306,Uniform,0.999526775,0.999212835
4,1,1.097915901,1.059235306,Uniform,0.999526775,0.999212835
5,1,1.063134569,1.059235306,Uniform,0.999526775,0.999212835
6,1,1.040327284,1.059235306,Uniform,0.999526775,0.999212835
7,1,1.06722329,1.059235306,Uniform,0.999526775,0.999212835
8,1,1.067148133,1.059235306,Uniform,0.999526775,0.999212835
9,1,1.034312182,1.059235306,Uniform,0.999526775,0.999212835
10,1,1.086224933,1.059235306,Uniform,0.999526775,0.999212835
11,1,1.074947804,1.059235306,Uniform,0.999526775,0.999212835
12,1,1.060734951,1.059235306,Uniform,0.999526775,0.999212835
13,1,1.047059688,1.059235306,Uniform,0.999526775,0.999212835
14,1,1.068952887,1.059235306,Uniform,0.999526775,0.999212835
15,1,1.047121905,1.059235306,Uniform,0.999526775,0.999212835
16,1,1.0845568,1.059235306,Uniform,0.999526775,0.999212835
17,1,1.078827978,1.059235306,Uniform,0.999526775,0.999212835
18,1,1.03921682,1.059235306,Uniform,0.999526775,0.999212835
19,1,1.053988116,1.059235306,Uniform,0.999526775,0.999212835
20,1,1.046203398,1.059235306,Uniform,0.999526775,0.999212835
21,1,1.067487579,1.059235306,Uniform,0.999526775,0.999212835
22,1,1.103900107,1.059235306,Uniform,0.999526775,0.999212835
23,1,1.069976391,1.059235306,Uniform,0.999526775,0.999212835
24,1,1.069676543,1.059235306,Uniform,0.999526775,0.999212835
25,1,1.089874575,1.059235306,Uniform,0.999526775,0.999212835
26,1,1.077052056,1.059235306,Uniform,0.999526775,0.999212835
27,1,1.055763171,1.059235306,Uniform,0.999526775,0.999212835
28,1,1.064520807,1.059235306,Uniform,0.999526775,0.999212835
29,1,1.04992125,1.059235306,Uniform,0.999526775,0.999212835
30,1,1.079907615,1.059235306,Uniform,0.999526775,0.999212835
